x_des,y_des,psi_des
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.459035171456261715e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.462753211346081272e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.462753211346081272e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.467376174607408323e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475013532398597782e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.480909496817589321e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.491672062999230608e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.491672062999230608e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.502045016562528090e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.509026918913872084e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.523994120383885154e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.523994120383885154e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.536413171325170968e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.536413171325170968e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.544656526326337431e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.547785503649659944e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.547785503649659944e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.545743154660447427e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.541158535496269355e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.541158535496269355e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.533123714956452055e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.515958071411958041e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.515958071411958041e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.469644189956482716e+00
-2.218288183212280273e+00,-1.730087876319885254e+00,4.989613595937329449e-01
-2.499999959766864954e+00,1.200000077486038208e+00,1.656552865260670249e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.653900253278396848e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.650612501714235236e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.649201028956361448e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.649201028956361448e+00
