x,y,yaw
6.022682879120111465e-03,1.277777459472417831e-02,-2.787214734115551540e+00
6.022682879120111465e-03,1.277777459472417831e-02,-2.787214734115551540e+00
6.225294899195432663e-03,1.235985103994607925e-02,-2.851508125835668039e+00
5.991138983517885208e-03,1.202964130789041519e-02,-2.889208539712905477e+00
5.991138983517885208e-03,1.202964130789041519e-02,-2.889208539712905477e+00
-2.427060622721910477e-03,9.862325154244899750e-03,-2.934413678175877394e+00
-2.427060622721910477e-03,9.862325154244899750e-03,-2.934413678175877394e+00
-2.427060622721910477e-03,9.862325154244899750e-03,-2.934413678175877394e+00
-4.108715802431106567e-02,2.280315849930047989e-03,-2.956349368334341587e+00
-8.958499878644943237e-02,-7.271501235663890839e-03,-2.942056647618208842e+00
-1.136866584420204163e-01,-1.219404581934213638e-02,-2.933555367077087972e+00
-1.359536647796630859e-01,-1.697454228997230530e-02,-2.911788223395149977e+00
-1.394108682870864868e-01,-1.775769703090190887e-02,-2.877281186126722901e+00
-1.394108682870864868e-01,-1.775769703090190887e-02,-2.877281186126722901e+00
-1.384452581405639648e-01,-1.754643581807613373e-02,-2.832163596885444612e+00
-1.384452581405639648e-01,-1.754643581807613373e-02,-2.832163596885444612e+00
-1.384452581405639648e-01,-1.754643581807613373e-02,-2.832163596885444612e+00
-1.383948475122451782e-01,-1.743107475340366364e-02,-2.792097100072133742e+00
-1.383948475122451782e-01,-1.743107475340366364e-02,-2.792097100072133742e+00
-1.386103481054306030e-01,-1.738600805401802063e-02,-2.699655783224737426e+00
-1.383630931377410889e-01,-1.722301170229911804e-02,-2.674543845666566000e+00
-1.383630931377410889e-01,-1.722301170229911804e-02,-2.674543845666566000e+00
-1.384965032339096069e-01,-1.721593365073204041e-02,-2.635508538679752100e+00
-1.385872662067413330e-01,-1.722546480596065521e-02,-2.610067826044024653e+00
-1.385872662067413330e-01,-1.722546480596065521e-02,-2.610067826044024653e+00
-1.459119021892547607e-01,-2.203198894858360291e-02,-2.554226570267623675e+00
-1.587993055582046509e-01,-3.075506351888179779e-02,-2.536781078883211915e+00
-1.910848915576934814e-01,-5.336421728134155273e-02,-2.532177210628785868e+00
-1.910848915576934814e-01,-5.336421728134155273e-02,-2.532177210628785868e+00
-2.399037033319473267e-01,-8.705505728721618652e-02,-2.554139189777805186e+00
-2.399037033319473267e-01,-8.705505728721618652e-02,-2.554139189777805186e+00
-2.622712552547454834e-01,-1.018912494182586670e-01,-2.569685912207062106e+00
-2.807300388813018799e-01,-1.138094142079353333e-01,-2.599662795563676188e+00
-2.807300388813018799e-01,-1.138094142079353333e-01,-2.599662795563676188e+00
-2.999233603477478027e-01,-1.245492324233055115e-01,-2.660341752312957109e+00
-2.999233603477478027e-01,-1.245492324233055115e-01,-2.660341752312957109e+00
-3.392556905746459961e-01,-1.441651135683059692e-01,-2.698821261661996651e+00
-3.656014204025268555e-01,-1.561802625656127930e-01,-2.721385928877975147e+00
-3.756585717201232910e-01,-1.605739295482635498e-01,-2.729519833873301771e+00
-3.756585717201232910e-01,-1.605739295482635498e-01,-2.729519833873301771e+00
-3.756585717201232910e-01,-1.605739295482635498e-01,-2.729519833873301771e+00
-4.547858536243438721e-01,-1.922207325696945190e-01,-2.800233627433892813e+00
-4.547858536243438721e-01,-1.922207325696945190e-01,-2.800233627433892813e+00
-5.332155227661132812e-01,-2.175892889499664307e-01,-2.850874673268109838e+00
-5.332155227661132812e-01,-2.175892889499664307e-01,-2.850874673268109838e+00
-5.636597871780395508e-01,-2.267806380987167358e-01,-2.865123499096692505e+00
-6.042778491973876953e-01,-2.380703240633010864e-01,-2.872598920705948800e+00
-6.321722865104675293e-01,-2.456784546375274658e-01,-2.877089478573162218e+00
-6.321722865104675293e-01,-2.456784546375274658e-01,-2.877089478573162218e+00
-7.051947712898254395e-01,-2.651023864746093750e-01,-2.885018818804307550e+00
-7.195115685462951660e-01,-2.687968313694000244e-01,-2.880365603852846235e+00
-7.334399819374084473e-01,-2.727177143096923828e-01,-2.874149109781965805e+00
-7.597549557685852051e-01,-2.802586257457733154e-01,-2.854214434851133575e+00
-8.139644861221313477e-01,-2.972744107246398926e-01,-2.812574397844526342e+00
-8.139644861221313477e-01,-2.972744107246398926e-01,-2.812574397844526342e+00
-8.527647256851196289e-01,-3.111904263496398926e-01,-2.779368393724036324e+00
-8.940783739089965820e-01,-3.273447155952453613e-01,-2.745038535347150699e+00
-8.940783739089965820e-01,-3.273447155952453613e-01,-2.745038535347150699e+00
-9.179346561431884766e-01,-3.375089168548583984e-01,-2.722855328209222048e+00
-9.554605484008789062e-01,-3.547406494617462158e-01,-2.689391388493388213e+00
-9.959152340888977051e-01,-3.750357329845428467e-01,-2.654991842297891758e+00
-9.959152340888977051e-01,-3.750357329845428467e-01,-2.654991842297891758e+00
-1.031571865081787109e+00,-3.943955898284912109e-01,-2.633385934811204976e+00
-1.031571865081787109e+00,-3.943955898284912109e-01,-2.633385934811204976e+00
-1.031571865081787109e+00,-3.943955898284912109e-01,-2.633385934811204976e+00
-1.123280167579650879e+00,-4.464705586433410645e-01,-2.620745626045236865e+00
-1.149390697479248047e+00,-4.615319967269897461e-01,-2.622356644025546579e+00
-1.149390697479248047e+00,-4.615319967269897461e-01,-2.622356644025546579e+00
-1.189667224884033203e+00,-4.843314290046691895e-01,-2.644310507616487893e+00
-1.213413357734680176e+00,-4.971484243869781494e-01,-2.662235735052196794e+00
-1.249654650688171387e+00,-5.159317255020141602e-01,-2.690383180603342694e+00
-1.249654650688171387e+00,-5.159317255020141602e-01,-2.690383180603342694e+00
