x,y,yaw
3.320682048797607422e+00,-1.690392255783081055e+00,-2.421804307701644010e+00
3.298715353012084961e+00,-1.708731770515441895e+00,-2.416722395430368930e+00
3.283585309982299805e+00,-1.721714735031127930e+00,-2.412837529262709779e+00
3.272766590118408203e+00,-1.731162071228027344e+00,-2.408901474109383045e+00
3.262576580047607422e+00,-1.740290284156799316e+00,-2.407528538411536356e+00
3.253625631332397461e+00,-1.748092532157897949e+00,-2.403725006358908622e+00
3.244537353515625000e+00,-1.755952596664428711e+00,-2.400983512420760579e+00
3.238115072250366211e+00,-1.761568665504455566e+00,-2.397257474595485771e+00
3.232737541198730469e+00,-1.766421437263488770e+00,-2.392950435825211386e+00
3.226007699966430664e+00,-1.772007703781127930e+00,-2.387647452638691714e+00
3.221140623092651367e+00,-1.777634143829345703e+00,-2.397635822885600732e+00
3.219964027404785156e+00,-1.783278465270996094e+00,-2.471172473629238198e+00
3.222532033920288086e+00,-1.789715170860290527e+00,-2.614774638876797841e+00
3.226677894592285156e+00,-1.796996593475341797e+00,-2.782007640262086134e+00
3.229065418243408203e+00,-1.804312109947204590e+00,-2.933965643179627047e+00
3.230012416839599609e+00,-1.811884641647338867e+00,-3.092330624300450914e+00
3.229288101196289062e+00,-1.819167137145996094e+00,3.041862939989016468e+00
3.228531122207641602e+00,-1.825245976448059082e+00,2.915733477401250440e+00
3.227502107620239258e+00,-1.829252719879150391e+00,2.825692902386816030e+00
3.226070404052734375e+00,-1.832659959793090820e+00,2.749913428720505593e+00
3.224778652191162109e+00,-1.834702372550964355e+00,2.700182784946492554e+00
3.223955392837524414e+00,-1.836343526840209961e+00,2.662345873110719019e+00
3.223416805267333984e+00,-1.837483286857604980e+00,2.637407074679127383e+00
3.222607374191284180e+00,-1.838951587677001953e+00,2.604258354089652450e+00
3.222320556640625000e+00,-1.839704275131225586e+00,2.586104183303165271e+00
3.216064691543579102e+00,-1.837718605995178223e+00,2.546515334466072922e+00
3.201226234436035156e+00,-1.828471899032592773e+00,2.526813851134146915e+00
3.180522680282592773e+00,-1.814101576805114746e+00,2.516266526573929241e+00
3.156683683395385742e+00,-1.797033190727233887e+00,2.512886165789372406e+00
3.135595321655273438e+00,-1.781770348548889160e+00,2.510965328117300110e+00
3.114912033081054688e+00,-1.766546845436096191e+00,2.508673703456041792e+00
3.101531028747558594e+00,-1.756998419761657715e+00,2.506723111893162326e+00
3.085381269454956055e+00,-1.745275139808654785e+00,2.504595979355412894e+00
3.075141191482543945e+00,-1.737854480743408203e+00,2.503230991241846226e+00
3.064679861068725586e+00,-1.730293631553649902e+00,2.501395141748974815e+00
3.054354667663574219e+00,-1.722876906394958496e+00,2.497904141500571384e+00
3.045690059661865234e+00,-1.716887950897216797e+00,2.492991670097980617e+00
3.038131952285766602e+00,-1.711193442344665527e+00,2.492687736545612154e+00
3.031923055648803711e+00,-1.706595897674560547e+00,2.489490715441127655e+00
3.025758028030395508e+00,-1.702164888381958008e+00,2.483814870543692876e+00
3.022049188613891602e+00,-1.700676083564758301e+00,2.468832717973979740e+00
3.020284175872802734e+00,-1.702808380126953125e+00,2.406006400319331107e+00
3.018762588500976562e+00,-1.704406857490539551e+00,2.360534630224340624e+00
3.016195535659790039e+00,-1.705921173095703125e+00,2.301715347292111247e+00
3.015138387680053711e+00,-1.706724762916564941e+00,2.275736360430340888e+00
3.013918399810791016e+00,-1.707884430885314941e+00,2.239936435290029948e+00
3.013356924057006836e+00,-1.708654999732971191e+00,2.221950127335629688e+00
3.009840726852416992e+00,-1.706447005271911621e+00,2.191443744618355005e+00
2.997872114181518555e+00,-1.690953254699707031e+00,2.169243950237940588e+00
2.980365276336669922e+00,-1.666326403617858887e+00,2.153252898412737260e+00
2.963530778884887695e+00,-1.640481591224670410e+00,2.150979105780439049e+00
2.949733495712280273e+00,-1.619123101234436035e+00,2.151655581519601235e+00
2.937333106994628906e+00,-1.600503802299499512e+00,2.150245386379895152e+00
2.926741838455200195e+00,-1.584327459335327148e+00,2.152159698211341343e+00
2.915832996368408203e+00,-1.567944407463073730e+00,2.149053363293085717e+00
2.907795906066894531e+00,-1.555920004844665527e+00,2.145022453473418800e+00
2.901626110076904297e+00,-1.546786546707153320e+00,2.143244126061925492e+00
