x_des,y_des,psi_des
3.480558315818805593e+00,-9.522868667864454739e-01,-1.791939680469426976e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.797081094814179769e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.802302457500901900e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.810011654212398069e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.817562732275564530e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.824317398423498826e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.829194685939774745e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.833501320877220397e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.838664327482107508e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.842852148982628169e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.848019487440368369e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.849481371941337438e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.847846183586220770e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.842941219863088342e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.841675437175362529e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.838198632240621189e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.834249612766450710e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.829820624323936107e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.826759144595460072e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.820735573724389100e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.813132315588329435e+00
3.480558315818805593e+00,-9.522868667864454739e-01,-1.810761565441002530e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.134429788641436065e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.140014936985054739e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.147960908621685316e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.158100756879386850e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.169085565981716535e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.176382464536756878e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.184060652283678294e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.189996614461420243e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.192145171413372839e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.196840791538272608e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.201639991072007252e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.206392635407969927e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.209923289835687310e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.210697049101762790e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.207851176840301743e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.202700063951716025e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.199276339357617793e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.195106738557270454e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.188213360129056095e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.185020269413766592e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.175813795286140273e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.171747624642089480e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.164534869803269590e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.155423488202188320e+00
3.329862426657167251e+00,-1.151763053309506901e+00,-2.140343165062088993e+00
3.300281340627146065e+00,-1.400006803179034254e+00,-1.774297578755954730e+00
3.300281340627146065e+00,-1.400006803179034254e+00,-1.764741156271471212e+00
3.300281340627146065e+00,-1.400006803179034254e+00,-1.753689762438838118e+00
3.300281340627146065e+00,-1.400006803179034254e+00,-1.741390427254189799e+00
3.300281340627146065e+00,-1.400006803179034254e+00,-1.728159594024010204e+00
3.300281340627146065e+00,-1.400006803179034254e+00,-1.715369897117327458e+00
3.300281340627146065e+00,-1.400006803179034254e+00,-1.706631502040270920e+00
3.300281340627146065e+00,-1.400006803179034254e+00,-1.700150601273519246e+00
3.300281340627146065e+00,-1.400006803179034254e+00,-1.696281684654016519e+00
3.300281340627146065e+00,-1.400006803179034254e+00,-1.692138850205197498e+00
3.300281340627146065e+00,-1.400006803179034254e+00,-1.688479356190847547e+00
